country,iso2,iso3,iso_numeric,year,measure,unit,age_group,sex,risk_factor,best,lo,hi,sex_encoded,age_group_encoded,sex_label,age_group_label,risk_factor_encoded,risk_factor_label
Burundi,BI,BDI,108,2022,inc,num,0-14,a,all,1200,650,1800,2,1,All,0-14,6,All
Burundi,BI,BDI,108,2022,inc,num,0-14,f,all,580,220,950,0,1,Female,0-14,6,All
Burundi,BI,BDI,108,2022,inc,num,0-14,m,all,630,230,1000,1,1,Male,0-14,6,All
Burundi,BI,BDI,108,2022,inc,num,0-14,f,all,280,0,670,0,1,Female,0-14,6,All
Burundi,BI,BDI,108,2022,inc,num,0-14,m,all,330,0,800,1,1,Male,0-14,6,All
Burundi,BI,BDI,108,2022,inc,num,15-24,f,all,700,0,1700,0,2,Female,15-24,6,All
Burundi,BI,BDI,108,2022,inc,num,15-24,m,all,1000,0,2500,1,2,Male,15-24,6,All
Burundi,BI,BDI,108,2022,inc,num,15-24,a,alc,1500,190,4200,2,2,All,15-24,3,Alcohol
Burundi,BI,BDI,108,2022,inc,num,15-24,a,all,11000,6100,16000,2,2,All,15-24,6,All
Burundi,BI,BDI,108,2022,inc,num,15-24,a,smk,510,28,1700,2,2,All,15-24,2,Smoking
Burundi,BI,BDI,108,2022,inc,num,15-24,f,alc,210,12,670,0,2,Female,15-24,3,Alcohol
Burundi,BI,BDI,108,2022,inc,num,15-24,f,all,4100,1500,6700,0,2,Female,15-24,6,All
Burundi,BI,BDI,108,2022,inc,num,15-24,f,smk,46,1,170,0,2,Female,15-24,2,Smoking
Burundi,BI,BDI,108,2022,inc,num,15-24,m,alc,1500,120,4600,1,2,Male,15-24,3,Alcohol
Burundi,BI,BDI,108,2022,inc,num,15-24,m,all,7200,2700,12000,1,2,Male,15-24,6,All
Burundi,BI,BDI,108,2022,inc,num,15-24,m,smk,550,17,2000,1,2,Male,15-24,2,Smoking
Burundi,BI,BDI,108,2022,inc,num,15-24,a,dia,230,17,710,2,2,All,15-24,4,Diabetes
Burundi,BI,BDI,108,2022,inc,num,15-24,f,dia,82,1,310,0,2,Female,15-24,4,Diabetes
Burundi,BI,BDI,108,2022,inc,num,15-24,m,dia,150,2,570,1,2,Male,15-24,4,Diabetes
Burundi,BI,BDI,108,2022,inc,num,25-34,f,all,950,0,2300,0,3,Female,25-34,6,All
Burundi,BI,BDI,108,2022,inc,num,25-34,m,all,1700,0,4100,1,3,Male,25-34,6,All
Burundi,BI,BDI,108,2022,inc,num,35-44,f,all,1000,0,2500,0,4,Female,35-44,6,All
Burundi,BI,BDI,108,2022,inc,num,35-44,m,all,1800,0,4300,1,4,Male,35-44,6,All
Burundi,BI,BDI,108,2022,inc,num,45-54,f,all,590,0,1500,0,5,Female,45-54,6,All
Burundi,BI,BDI,108,2022,inc,num,45-54,m,all,1200,0,2900,1,5,Male,45-54,6,All
Burundi,BI,BDI,108,2022,inc,num,55-64,f,all,410,0,1000,0,6,Female,55-64,6,All
Burundi,BI,BDI,108,2022,inc,num,55-64,m,all,850,0,2100,1,6,Male,55-64,6,All
Burundi,BI,BDI,108,2022,inc,num,65plus,f,all,430,0,1000,0,7,Female,65+,6,All
Burundi,BI,BDI,108,2022,inc,num,65plus,m,all,670,0,1600,1,7,Male,65+,6,All
Burundi,BI,BDI,108,2022,inc,num,all,a,all,12000,7300,18000,2,8,All,All,6,All
Burundi,BI,BDI,108,2022,inc,num,all,a,hiv,1400,400,2900,2,8,All,All,1,HIV
Burundi,BI,BDI,108,2022,inc,num,all,f,all,4700,2000,7400,0,8,Female,All,6,All
Burundi,BI,BDI,108,2022,inc,num,all,m,all,7800,3300,12000,1,8,Male,All,6,All
Djibouti,DJ,DJI,262,2022,inc,num,0-14,a,all,340,250,440,2,1,All,0-14,6,All
Djibouti,DJ,DJI,262,2022,inc,num,0-14,f,all,170,100,230,0,1,Female,0-14,6,All
Djibouti,DJ,DJI,262,2022,inc,num,0-14,m,all,180,110,250,1,1,Male,0-14,6,All
Djibouti,DJ,DJI,262,2022,inc,num,0-14,f,all,79,6,150,0,1,Female,0-14,6,All
Djibouti,DJ,DJI,262,2022,inc,num,0-14,m,all,93,8,180,1,1,Male,0-14,6,All
Djibouti,DJ,DJI,262,2022,inc,num,15-24,f,all,160,13,310,0,2,Female,15-24,6,All
