country,iso2,iso3,iso_numeric,year,measure,unit,age_group,sex,risk_factor,best,lo,hi,sex_encoded,age_group_encoded,sex_label,age_group_label,risk_factor_encoded,risk_factor_label
Afghanistan,AF,AFG,4,2022,inc,num,0-14,a,all,15000,8300,22000,2,1,All,0-14,6,All
Afghanistan,AF,AFG,4,2022,inc,num,0-14,f,all,7400,2700,12000,0,1,Female,0-14,6,All
Afghanistan,AF,AFG,4,2022,inc,num,0-14,m,all,7900,2800,13000,1,1,Male,0-14,6,All
Afghanistan,AF,AFG,4,2022,inc,num,0-14,f,all,3400,0,8300,0,1,Female,0-14,6,All
Afghanistan,AF,AFG,4,2022,inc,num,0-14,m,all,4000,0,9900,1,1,Male,0-14,6,All
Afghanistan,AF,AFG,4,2022,inc,num,15-24,f,all,7200,0,18000,0,2,Female,15-24,6,All
Afghanistan,AF,AFG,4,2022,inc,num,15-24,m,all,6000,0,15000,1,2,Male,15-24,6,All
Afghanistan,AF,AFG,4,2022,inc,num,15-24,a,alc,560,62,1600,2,2,All,15-24,3,Alcohol
Afghanistan,AF,AFG,4,2022,inc,num,15-24,a,all,61000,33000,88000,2,2,All,15-24,6,All
Afghanistan,AF,AFG,4,2022,inc,num,15-24,a,smk,3100,220,9600,2,2,All,15-24,2,Smoking
Afghanistan,AF,AFG,4,2022,inc,num,15-24,f,alc,72,4,230,0,2,Female,15-24,3,Alcohol
Afghanistan,AF,AFG,4,2022,inc,num,15-24,f,all,32000,11000,52000,0,2,Female,15-24,6,All
Afghanistan,AF,AFG,4,2022,inc,num,15-24,f,smk,390,14,1400,0,2,Female,15-24,2,Smoking
Afghanistan,AF,AFG,4,2022,inc,num,15-24,m,alc,400,24,1300,1,2,Male,15-24,3,Alcohol
Afghanistan,AF,AFG,4,2022,inc,num,15-24,m,all,29000,11000,48000,1,2,Male,15-24,6,All
Afghanistan,AF,AFG,4,2022,inc,num,15-24,m,smk,2500,100,8600,1,2,Male,15-24,2,Smoking
Afghanistan,AF,AFG,4,2022,inc,num,15-24,a,dia,3400,490,9000,2,2,All,15-24,4,Diabetes
Afghanistan,AF,AFG,4,2022,inc,num,15-24,f,dia,1800,110,5700,0,2,Female,15-24,4,Diabetes
Afghanistan,AF,AFG,4,2022,inc,num,15-24,m,dia,1600,87,5200,1,2,Male,15-24,4,Diabetes
Afghanistan,AF,AFG,4,2022,inc,num,25-34,f,all,6600,0,16000,0,3,Female,25-34,6,All
Afghanistan,AF,AFG,4,2022,inc,num,25-34,m,all,6200,0,15000,1,3,Male,25-34,6,All
Afghanistan,AF,AFG,4,2022,inc,num,35-44,f,all,4800,0,12000,0,4,Female,35-44,6,All
Afghanistan,AF,AFG,4,2022,inc,num,35-44,m,all,5400,0,13000,1,4,Male,35-44,6,All
Afghanistan,AF,AFG,4,2022,inc,num,45-54,f,all,4600,0,11000,0,5,Female,45-54,6,All
Afghanistan,AF,AFG,4,2022,inc,num,45-54,m,all,4100,0,10000,1,5,Male,45-54,6,All
Afghanistan,AF,AFG,4,2022,inc,num,55-64,f,all,4400,0,11000,0,6,Female,55-64,6,All
Afghanistan,AF,AFG,4,2022,inc,num,55-64,m,all,3600,0,8700,1,6,Male,55-64,6,All
Afghanistan,AF,AFG,4,2022,inc,num,65plus,f,all,4000,0,9800,0,7,Female,65+,6,All
Afghanistan,AF,AFG,4,2022,inc,num,65plus,m,all,4000,0,9800,1,7,Male,65+,6,All
Afghanistan,AF,AFG,4,2022,inc,num,all,a,all,76000,48000,105000,2,8,All,All,6,All
Afghanistan,AF,AFG,4,2022,inc,num,all,a,hiv,450,7,1800,2,8,All,All,1,HIV
Afghanistan,AF,AFG,4,2022,inc,num,all,a,und,30000,20000,42000,2,8,All,All,5,Undernourishment
Afghanistan,AF,AFG,4,2022,inc,num,all,f,all,39000,18000,60000,0,8,Female,All,6,All
Afghanistan,AF,AFG,4,2022,inc,num,all,m,all,37000,17000,57000,1,8,Male,All,6,All
Albania,AL,ALB,8,2022,inc,num,0-14,a,all,9,7,10,2,1,All,0-14,6,All
Albania,AL,ALB,8,2022,inc,num,0-14,f,all,4,3,5,0,1,Female,0-14,6,All
Albania,AL,ALB,8,2022,inc,num,0-14,m,all,4,3,5,1,1,Male,0-14,6,All
Albania,AL,ALB,8,2022,inc,num,0-14,f,all,3,2,4,0,1,Female,0-14,6,All
Albania,AL,ALB,8,2022,inc,num,0-14,m,all,3,2,4,1,1,Male,0-14,6,All
Albania,AL,ALB,8,2022,inc,num,15-24,f,all,24,12,35,0,2,Female,15-24,6,All
Albania,AL,ALB,8,2022,inc,num,15-24,m,all,35,18,53,1,2,Male,15-24,6,All
Albania,AL,ALB,8,2022,inc,num,15-24,a,alc,51,21,95,2,2,All,15-24,3,Alcohol
Albania,AL,ALB,8,2022,inc,num,15-24,a,all,420,350,490,2,2,All,15-24,6,All
Albania,AL,ALB,8,2022,inc,num,15-24,a,smk,48,15,99,2,2,All,15-24,2,Smoking
Albania,AL,ALB,8,2022,inc,num,15-24,f,alc,6,2,11,0,2,Female,15-24,3,Alcohol
Albania,AL,ALB,8,2022,inc,num,15-24,f,all,130,99,160,0,2,Female,15-24,6,All
Albania,AL,ALB,8,2022,inc,num,15-24,f,smk,4,1,9,0,2,Female,15-24,2,Smoking
Albania,AL,ALB,8,2022,inc,num,15-24,m,alc,55,23,100,1,2,Male,15-24,3,Alcohol
Albania,AL,ALB,8,2022,inc,num,15-24,m,all,300,230,360,1,2,Male,15-24,6,All
Albania,AL,ALB,8,2022,inc,num,15-24,m,smk,53,17,110,1,2,Male,15-24,2,Smoking
